code,observed_at,start_at,status,chance_this,chance_next,news
50175,1677760822,1677760822,a,0.0,100.0,
50232,1657988027,1657988027,a,,,
50232,1659370276,1659351605,d,,25.0,Hamstring injury - 25% chance of playing
50232,1660639221,1660639221,i,0.0,0.0,Hamstring injury - Expected back 05 Nov
50232,1665555681,1665555681,i,0.0,0.0,Hamstring injury - Expected back 23 Oct
50232,1665995118,1665995118,a,0.0,100.0,
50232,1672318255,1672106409,i,100.0,0.0,Calf injury - Expected back 11 Feb
50232,1676634450,1676634450,a,75.0,100.0,
50471,1657988027,1657988027,a,,,
50471,1659370276,1659344405,d,,25.0,Groin Injury - 25% chance of playing
50471,1659947328,1659947328,i,0.0,0.0,Groin Injury - Unknown return date
50471,1666688392,1666688392,i,0.0,0.0,Hip injury - Unknown return date
50471,1669176618,1669176618,d,0.0,75.0,Hip injury - 75% chance of playing
50471,1672318255,1672318255,i,0.0,0.0,Hip injury - Unknown return date
50471,1675962528,1675432809,i,0.0,0.0,Lack of match fitness - Unknown return date
50471,1676634450,1676634450,a,100.0,100.0,
50471,1679046737,1678840208,d,100.0,75.0,Illness - 75% chance of playing
50471,1679914802,1679914802,a,75.0,100.0,
50471,1683287633,1683198009,i,100.0,0.0,Knock - Unknown return date
50471,1685259116,1685259116,a,100.0,100.0,
51090,1657988027,1657988027,a,,,
51090,1665995118,1665959407,d,,75.0,Muscle injury - 75% chance of playing
51090,1666688392,1666688392,a,100.0,100.0,
51090,1677760822,1677452408,i,100.0,0.0,Knee injury - Unknown return date
51090,1678185619,1678185619,i,0.0,0.0,Knee injury - Expected back 15 Apr
51090,1681291216,1681291216,a,0.0,100.0,
51927,1659370276,1659370276,a,,,
51938,1657988027,1657988027,a,,,
51938,1675962528,1675250258,u,0.0,0.0,Season-long loan to West Bromwich Albion
51940,1657988027,1657988027,a,,,
54469,1657988027,1657988027,a,,,
54469,1673585957,1672837207,s,,0.0,Suspended until 21 Jan
54469,1674195851,1674195851,a,0.0,100.0,
54469,1679046737,1678570208,d,100.0,75.0,Knock - 75% chance of playing
54469,1679914802,1679914802,a,75.0,100.0,
54694,1662536127,1662536127,a,0.0,100.0,
54694,1679046737,1678458609,d,25.0,25.0,Back injury - 25% chance of playing
54694,1679914802,1679914802,a,25.0,100.0,
54861,1657988027,1657988027,a,,,
54861,1660639221,1660127632,u,0.0,0.0,Transferred to D.C. United
55037,1660639221,1660639221,a,,,
55037,1668109477,1668087009,d,,75.0,Knock - 75% chance of playing
55037,1669176618,1669176618,a,75.0,100.0,
55037,1672318255,1671498008,i,0.0,0.0,Hamstring injury - Expected back 04 Mar
55037,1676634450,1676634450,i,0.0,0.0,Hamstring injury - Expected back 05 Mar
55037,1677760822,1677760822,i,0.0,0.0,Hamstring injury - Expected back 11 Mar
55037,1678185619,1678185619,i,0.0,0.0,Hamstring injury - Unknown return date
55037,1679046737,1679046737,d,75.0,75.0,Lack of match fitness - 75% chance of playing
55037,1680813728,1680813728,a,75.0,100.0,
55037,1681291216,1680993009,d,100.0,75.0,Hamstring injury - 75% chance of playing
55037,1682014831,1682014831,d,25.0,25.0,Hamstring injury - 25% chance of playing
55037,1682690190,1682690190,a,25.0,100.0,
55459,1657988027,1657988027,a,,,
55459,1662536127,1662116407,d,75.0,75.0,Muscle injury - 75% chance of playing
55459,1663775227,1663775227,a,100.0,100.0,
